timeline,survival,cum_abandon,n_at_risk
143.0,0.622129701468713,0.37787029853128695,1876
143.5,0.6211291244581659,0.3788708755418341,1856
144.0,0.6200984822903849,0.3799015177096151,1803
144.5,0.618703202944409,0.38129679705559105,1765
145.0,0.6183478306279561,0.38165216937204394,1741
145.5,0.6176239729652727,0.3823760270347273,1702
146.0,0.6165241061203858,0.3834758938796142,1676
146.5,0.615772930108153,0.38422706989184696,1637
147.0,0.6150108086159606,0.3849891913840394,1606
147.5,0.6134669945102371,0.3865330054897629,1584
148.0,0.6130729887334162,0.3869270112665838,1557
148.5,0.6122590836522372,0.38774091634776275,1504
149.0,0.611436702994476,0.38856329700552406,1485
149.5,0.6110144400780433,0.3889855599219567,1448
150.0,0.6093040544160855,0.3906959455839145,1421
150.5,0.6075810059780289,0.3924189940219711,1404
151.0,0.6044931590200368,0.39550684097996325,1359
151.5,0.6013267177771366,0.39867328222286336,1321
152.0,0.6004040643365357,0.3995959356634643,1297
152.5,0.5975997345421151,0.4024002654578849,1267
153.0,0.595688155250023,0.40431184474997695,1243
153.5,0.5942204272292246,0.40577957277077537,1205
154.0,0.5922187996661873,0.4077812003338127,1179
154.5,0.5917130620063528,0.40828693799364724,1171
155.0,0.5906781076687192,0.4093218923312808,1136
155.5,0.590152593338053,0.40984740666194697,1124
156.0,0.590152593338053,0.40984740666194697,1124
156.5,0.590152593338053,0.40984740666194697,1124
157.0,0.588480743060365,0.411519256939635,1052
157.5,0.5873523023585109,0.4126476976414891,1041
158.0,0.5867775936477883,0.41322240635221175,1022
158.5,0.5844495425144276,0.4155504574855724,995
159.0,0.5844495425144276,0.4155504574855724,995
159.5,0.5844495425144276,0.4155504574855724,995
160.0,0.5838284484203634,0.4161715515796366,941
160.5,0.5831952288450701,0.41680477115492987,922
161.0,0.5806295722885833,0.41937042771141675,902
161.5,0.5786715923339765,0.42132840766602353,882
162.0,0.576661496748716,0.42333850325128397,858
162.5,0.5746165978240753,0.42538340217592474,844
163.0,0.5746165978240753,0.42538340217592474,844
163.5,0.5718066691364884,0.42819333086351163,810
164.0,0.571090119425791,0.428909880574209,798
164.5,0.5703672205404419,0.42963277945955813,790
165.0,0.5696226158138878,0.43037738418611216,766
165.5,0.568866144876552,0.43113385512344804,753
166.0,0.568094277651482,0.431905722348518,737
166.5,0.5672997402002212,0.4327002597997788,715
167.0,0.5672997402002212,0.4327002597997788,715
167.5,0.5672997402002212,0.4327002597997788,715
168.0,0.5672997402002212,0.4327002597997788,715
168.5,0.5672997402002212,0.4327002597997788,715
169.0,0.5664401951393119,0.4335598048606881,660
169.5,0.5655592617098573,0.43444073829014274,643
170.0,0.5655592617098573,0.43444073829014274,643
170.5,0.5618822983923841,0.4381177016076159,611
171.0,0.560947386082247,0.43905261391775297,601
171.5,0.5600014377077407,0.4399985622922593,593
172.0,0.5600014377077407,0.4399985622922593,593
