cand_id,cand_name,gu,dongs,n_seed,n_dong_scope,n_calls_scope,before,delta,rate_pct,rate_sd,rate_lo,rate_hi,interval,sample_ok,total_delta_min,n_overlap,rank_rate,rank_total,rate_total_pct,rate_total_sd,before_total,after_total,obs_total_min,sim_obs_ratio,ref_grade,ref_gap_prev,ref_threshold_prev
511,독산2동 공영주차장(구),금천구,금천구 독산2동 · 금천구 독산4동 · 금천구 시흥4동,3,20,3070,12.690438724223222,-0.6550289424452096,-5.159320480498912,0.700786406270469,-6.150382120573311,-4.168258840424513,-5.16% ± 0.99%p,True,-2010.9388533067934,92,21,62,-7.243211963951978,1.2876220013682098,17.43370183308919,16.166569391886394,47.24395514663154,0.36901444383688947,하,0.00792858995662371,2.2740816241864614
615,사당노외,서초구,서초구 방배2동,3,16,1694,14.486411546255605,-0.7378276927285471,-5.084777185177553,1.227334415281046,-6.820490160835261,-3.3490642095198457,-5.08% ± 1.74%p,False,-1249.8801114821588,160,22,209,-6.8207845935376765,1.0800180080415003,18.594878514607746,17.324300130208332,52.980625534319074,0.3509750654522304,하,0.07454329532135873,2.826624385479433
502,동막골 노외공영주차장(구),노원구,노원구 상계34동,3,6,2130,9.862384435506259,-0.5004490208073294,-5.073754444570719,1.0135250034020389,-6.5070952501861195,-3.6404136389553186,-5.07% ± 1.43%p,True,-1065.9564143196117,132,23,224,-6.544380973498885,1.4805774148003352,13.57828140258789,12.691445668538412,31.57669110021961,0.43000963462233877,하,0.01102274060683417,3.1834463711232015
452,구룡산제2호(구),강남구,강남구 개포1동,3,12,2217,14.176810903850942,-0.7111177622273086,-5.014999827056195,1.074908814277753,-6.535150450522175,-3.4948492035902143,-5.01% ± 1.52%p,True,-1576.5480788579432,142,24,155,-6.508614606336608,0.6300896891961806,17.40962282816569,16.27609125773112,47.65027546830912,0.36536248021786044,하,0.05875461751452438,2.9547669224716238
297,한국예술종합학교,서초구,서초구 서초3동,3,13,2492,14.496425317476627,-0.7214872394569358,-4.978562636211483,0.44495761797161837,-5.607827734228172,-4.349297538194794,-4.98% ± 0.63%p,True,-1797.946200726684,79,25,108,-6.496321831425256,0.3402796482578231,18.000099182128906,16.830232620239258,57.113645721435546,0.31516284689515484,하,0.036437190844711864,2.326728381915673
236,갈현2동주민센터 및 자치회관,은평구,은평구 갈현2동,3,11,3686,11.677233317317816,-0.576270528613359,-4.929181395127345,1.3090225393318045,-6.780418823702451,-3.077943966552239,-4.93% ± 1.85%p,True,-2124.133168468841,194,26,41,-6.123354426041478,1.182456522250317,15.969705581665039,14.987600644429525,37.39561235019222,0.4270475753175613,하,0.049381241084137883,2.765159879840341
461,언구비 공영주차장(구),서초구,서초구 반포1동 · 서초구 서초4동,3,17,2746,14.788105816926297,-0.727622750806337,-4.918359981776059,0.8303086188799182,-6.092593691551313,-3.7441262720008055,-4.92% ± 1.17%p,True,-1998.0520737142012,122,27,65,-6.155661627082192,0.8582321109219107,18.208053588867188,17.085651397705078,58.00058521645512,0.3139287909064313,하,0.010821413351285614,3.1002918643669424
508,중앙로 공영주차장(구),서초구,서초구 방배1동 · 서초구 방배3동,3,19,2193,14.492026498196443,-0.7099917211188913,-4.887122390241831,1.6254680474270837,-7.185881348117325,-2.588363432366336,-4.89% ± 2.30%p,True,-1557.0118444137286,224,28,157,-6.228718690552117,1.5419035814304953,18.56927744547526,17.408721923828125,56.842443305058865,0.32667979006142817,하,0.03123759153422867,3.6505116221114506
390,방이고분(구),송파구,송파구 방이1동 · 송파구 송파2동,3,21,3497,12.890640457426287,-0.6257770318513037,-4.851379361624509,0.5424201782899314,-5.618477334266962,-4.084281388982055,-4.85% ± 0.77%p,True,-2188.342280384009,96,29,32,-6.07330043624437,0.502490067772435,17.699886322021484,16.623499552408855,41.94109140205323,0.42201778090006936,하,0.035743028617321926,3.4271656061664117
570,천호2동복합청사(구),강동구,강동구 천호2동,3,19,4315,12.178906675564411,-0.5869316337161354,-4.818683342292083,0.41988901313354854,-5.412496079357002,-4.224870605227164,-4.82% ± 0.59%p,True,-2532.6099994851243,83,30,11,-6.2014217180742754,0.7239652260305397,16.170976638793945,15.167323430379232,37.56799479424294,0.4304455621696382,하,0.03269601933242594,1.371898586873456
