주차장명,주소,자치구,법정동,법정동코드,면수,위도,경도,소스,공공근거,UPIS대분류,UPIS시설명,고시번호,옥내외,옥내자주,옥외자주,현행차고지,현행차고지거리m,운영시간,급지,이용효율
충무아트센터,서울특별시 중구 흥인동  131,중구,흥인동,11140163,181.0,37.5659296076,127.0148594801,KOTSA,U_UPIS,문화시설,문화시설,11000NTC200305264289,혼합,174.0,4.0,,,,,
약수동 복지회관,서울특별시 중구 신당동  366-18,중구,신당동,11140162,10.0,37.5524872986,127.0093205892,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC199207243217,옥내,10.0,0.0,,,,,
"금호2,3가동 주민센터",서울특별시 성동구 금호동2가  1212,성동구,금호동2가,11200110,12.0,37.5532030055,127.0209319166,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200607200270,혼합,10.0,2.0,,,,,
옥수 종합 사회복지관,서울특별시 성동구 옥수동  204-8,성동구,옥수동,11200113,14.0,37.5404352177,127.0127271867,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC199604305990,혼합,11.0,3.0,,,,,
행당1동주민센터,서울특별시 성동구 행당동  139,성동구,행당동,11200107,13.0,37.5585296329,127.0361354778,KOTSA,U_UPIS,공공청사,공공청사,,옥외,0.0,13.0,,,,,
성동세무서,서울특별시 성동구 송정동  67-6,성동구,송정동,11200118,109.0,37.548470526,127.0628144092,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200903052922,혼합,101.0,8.0,,,,,
서울특별시 동부여성발전센타,서울특별시 광진구 자양동  9-13,광진구,자양동,11215105,54.0,37.5394151347,127.0667353489,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC199707257121,혼합,50.0,4.0,,,,,
둔촌동후성누리움,서울특별시 강동구 둔촌동  79-23,강동구,둔촌동,11740106,53.0,37.5310292839,127.1430768464,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC202007240016,혼합,45.0,8.0,,,,,
강동소방서,서울특별시 강동구 성내동  541,강동구,성내동,11740108,25.0,37.5294567499,127.1250764863,KOTSA,U_UPIS,공공청사,기타 공공청사시설,,옥외,0.0,25.0,,,,,
석촌동 주민센터,서울특별시 송파구 석촌동  265,송파구,석촌동,11710105,10.0,37.5035970668,127.1036674289,KOTSA,U_UPIS,공공청사,석촌동사무소,11000NTC200404306168,혼합,8.0,2.0,,,,,
마천2동청사,서울특별시 송파구 마천동  127-1,송파구,마천동,11710114,10.0,37.4969393225,127.1485936541,KOTSA,U_UPIS,공공청사,공공청사,11710NTC202409260008,옥외,0.0,10.0,,,,,
구립송파노인요양센터,서울특별시 송파구 장지동  850-2,송파구,장지동,11710109,33.0,37.4857372926,127.1341304159,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC201011185616,혼합,18.0,15.0,,,,,
국립농산물품질관리원 서울사무소,서울특별시 송파구 장지동  840-1,송파구,장지동,11710109,15.0,37.4785480937,127.1268366809,KOTSA,U_UPIS,공공청사,공공청사,11000NTC201209066615,옥외,0.0,15.0,,,,,
